50Hz-Actual,50Hz-Forecast,AMP-Actual,AMP-Forecast,AT-Actual,AT-Forecast,PL-Actual,PL-Forecast,TBW-Actual,TBW-Forecast,TTG-Actual,TTG-Forecast,TTGf-Actual,TTGf-Forecast,50Hzf-Actual,50Hzf-Forecast,FR-Actual,FR-Forecast,FRf-Actual,FRf-Forecast
"147,0","9,0","1 057,0","1 066,0","2 592,0","2 560,0","3 729,0","3 601,0","154,0","205,0","834,0","712,0","717,0","712,0","840,0","834,0","2 495,0","2 604,0","1 163,0","1 198,0"
"146,0","24,0","1 030,0","1 043,0","2 656,0","2 552,0","3 661,0","3 543,0","129,0","183,0","759,0","658,0","616,0","658,0","812,0","777,0","2 546,0","2 433,0","1 166,0","1 137,0"
"150,0","34,0","988,0","1 030,0","2 680,0","2 532,0","3 573,0","3 486,0","126,0","153,0","729,0","611,0","541,0","611,0","777,0","730,0","2 621,0","2 433,0","1 200,0","1 137,0"
"147,0","52,0","954,0","1 019,0","2 664,0","2 528,0","3 431,0","3 399,0","119,0","133,0","720,0","563,0","445,0","563,0","695,0","664,0","2 741,0","2 433,0","1 163,0","1 137,0"
"146,0","66,0","932,0","1 017,0","2 612,0","2 504,0","3 375,0","3 279,0","111,0","130,0","684,0","526,0","390,0","526,0","628,0","600,0","2 857,0","2 433,0","1 176,0","1 137,0"
"145,0","73,0","920,0","1 020,0","2 576,0","2 496,0","3 337,0","3 196,0","108,0","124,0","641,0","485,0","378,0","485,0","594,0","560,0","2 907,0","2 461,0","1 145,0","1 118,0"
"144,0","79,0","929,0","1 029,0","2 520,0","2 492,0","3 242,0","3 105,0","112,0","118,0","601,0","449,0","335,0","449,0","561,0","524,0","2 977,0","2 461,0","1 061,0","1 118,0"
"134,0","86,0","918,0","1 039,0","2 492,0","2 492,0","3 179,0","3 044,0","120,0","115,0","585,0","412,0","296,0","412,0","535,0","486,0","3 011,0","2 461,0","1 087,0","1 118,0"
"123,0","91,0","930,0","1 057,0","2 468,0","2 472,0","3 085,0","2 901,0","132,0","118,0","562,0","378,0","241,0","378,0","533,0","458,0","2 988,0","2 461,0","1 183,0","1 118,0"
"118,0","94,0","963,0","975,0","2 424,0","2 448,0","3 109,0","2 850,0","132,0","124,0","516,0","346,0","178,0","346,0","537,0","434,0","3 021,0","2 772,0","1 169,0","1 042,0"
"116,0","93,0","983,0","1 001,0","2 328,0","2 412,0","3 020,0","2 759,0","135,0","135,0","493,0","318,0","148,0","318,0","489,0","408,0","3 098,0","2 772,0","1 160,0","1 042,0"
"114,0","96,0","1 023,0","1 028,0","2 260,0","2 368,0","2 892,0","2 751,0","136,0","136,0","503,0","294,0","137,0","294,0","462,0","377,0","3 099,0","2 772,0","1 151,0","1 042,0"
"123,0","92,0","1 084,0","1 053,0","2 152,0","2 324,0","2 827,0","2 620,0","129,0","139,0","492,0","272,0","119,0","272,0","431,0","363,0","3 141,0","2 772,0","1 167,0","1 042,0"
"113,0","99,0","1 125,0","1 078,0","2 104,0","2 276,0","2 823,0","2 530,0","130,0","141,0","523,0","255,0","110,0","255,0","396,0","330,0","3 148,0","3 041,0","1 191,0","1 018,0"
"99,0","97,0","1 130,0","1 097,0","2 096,0","2 200,0","2 771,0","2 517,0","141,0","136,0","552,0","249,0","114,0","249,0","386,0","312,0","3 012,0","3 041,0","1 178,0","1 018,0"
"92,0","94,0","1 137,0","1 117,0","2 088,0","2 144,0","2 803,0","2 508,0","150,0","137,0","601,0","129,0","115,0","129,0","391,0","302,0","2 886,0","3 041,0","1 124,0","1 018,0"
"84,0","90,0","1 138,0","1 138,0","2 096,0","2 096,0","2 810,0","2 449,0","158,0","142,0","652,0","140,0","99,0","140,0","389,0","294,0","2 809,0","3 041,0","1 109,0","1 018,0"
"94,0","89,0","1 129,0","1 158,0","2 124,0","2 044,0","2 789,0","2 500,0","161,0","144,0","677,0","128,0","92,0","128,0","363,0","279,0","2 726,0","3 082,0","1 105,0","1 070,0"
"114,0","97,0","1 117,0","1 148,0","2 112,0","2 000,0","2 690,0","2 490,0","164,0","158,0","718,0","152,0","95,0","152,0","331,0","259,0","2 670,0","3 082,0","1 048,0","1 070,0"
"128,0","102,0","1 085,0","1 137,0","2 028,0","1 960,0","2 631,0","2 417,0","155,0","167,0","719,0","154,0","101,0","154,0","291,0","243,0","2 616,0","3 082,0","1 051,0","1 070,0"
"134,0","105,0","1 064,0","1 119,0","1 940,0","1 924,0","2 647,0","2 330,0","153,0","170,0","722,0","156,0","103,0","156,0","231,0","224,0","2 648,0","3 082,0","1 101,0","1 070,0"
"146,0","109,0","1 056,0","1 096,0","1 896,0","1 888,0","2 612,0","2 294,0","149,0","167,0","740,0","171,0","123,0","171,0","218,0","204,0","2 685,0","3 068,0","1 119,0","1 085,0"
"158,0","108,0","1 020,0","1 074,0","1 912,0","1 864,0","2 612,0","2 313,0","150,0","152,0","771,0","184,0","149,0","184,0","232,0","211,0","2 666,0","3 068,0","1 113,0","1 085,0"
"160,0","107,0","1 034,0","1 045,0","1 936,0","1 836,0","2 674,0","2 281,0","150,0","155,0","843,0","180,0","177,0","180,0","238,0","208,0","2 746,0","3 068,0","1 071,0","1 085,0"
"159,0","104,0","1 030,0","1 005,0","1 944,0","1 816,0","2 627,0","2 305,0","164,0","157,0","911,0","199,0","198,0","199,0","243,0","210,0","2 750,0","3 068,0","1 115,0","1 085,0"
"149,0","102,0","980,0","955,0","1 840,0","1 796,0","2 596,0","2 562,0","195,0","154,0","976,0","221,0","236,0","221,0","223,0","201,0","2 751,0","2 272,0","1 128,0","1 097,0"
"138,0","92,0","897,0","903,0","1 664,0","1 792,0","2 529,0","2 588,0","227,0","151,0","1 008,0","233,0","271,0","233,0","237,0","199,0","2 673,0","2 272,0","1 110,0","1 097,0"
"133,0","82,0","797,0","855,0","1 504,0","1 788,0","2 431,0","2 514,0","237,0","149,0","1 019,0","252,0","311,0","252,0","255,0","208,0","2 530,0","2 272,0","1 128,0","1 097,0"
"129,0","77,0","701,0","811,0","1 364,0","1 780,0","2 299,0","2 440,0","218,0","149,0","1 053,0","273,0","334,0","273,0","229,0","201,0","2 407,0","2 272,0","1 064,0","1 097,0"
"134,0","83,0","639,0","770,0","1 208,0","1 768,0","2 065,0","2 221,0","201,0","149,0","1 090,0","291,0","368,0","291,0","129,0","163,0","2 310,0","2 056,0","1 017,0","1 097,0"
"150,0","84,0","582,0","731,0","1 032,0","1 712,0","1 865,0","2 089,0","181,0","150,0","1 097,0","297,0","387,0","297,0","123,0","161,0","2 261,0","2 056,0","1 037,0","1 097,0"
"164,0","95,0","537,0","694,0","1 128,0","1 652,0","1 656,0","1 956,0","167,0","151,0","1 076,0","306,0","387,0","306,0","120,0","152,0","2 232,0","2 056,0","1 028,0","1 097,0"
"160,0","99,0","513,0","660,0","1 336,0","1 596,0","1 389,0","1 823,0","187,0","152,0","1 060,0","310,0","411,0","310,0","123,0","148,0","2 108,0","2 056,0","1 020,0","1 097,0"
"147,0","169,0","473,0","627,0","1 340,0","1 552,0","1 208,0","1 616,0","233,0","154,0","984,0","318,0","419,0","318,0","287,0","122,0","2 099,0","1 862,0","1 052,0","1 105,0"
"139,0","163,0","440,0","600,0","1 240,0","1 592,0","1 057,0","1 403,0","219,0","161,0","846,0","337,0","443,0","337,0","147,0","119,0","1 986,0","1 862,0","1 066,0","1 105,0"
"143,0","157,0","426,0","574,0","1 308,0","1 632,0","944,0","1 191,0","211,0","167,0","694,0","350,0","490,0","350,0","144,0","117,0","1 891,0","1 862,0","1 062,0","1 105,0"
"129,0","150,0","401,0","551,0","1 464,0","1 668,0","892,0","977,0","224,0","175,0","533,0","371,0","555,0","371,0","136,0","115,0","1 814,0","1 862,0","1 091,0","1 105,0"
"108,0","141,0","330,0","528,0","1 608,0","1 708,0","919,0","925,0","212,0","183,0","414,0","389,0","616,0","389,0","270,0","111,0","1 740,0","1 553,0","1 041,0","1 075,0"
"94,0","130,0","284,0","503,0","1 700,0","1 784,0","919,0","913,0","272,0","209,0","360,0","428,0","671,0","428,0","254,0","106,0","1 696,0","1 553,0","994,0","1 075,0"
"82,0","121,0","250,0","478,0","1 828,0","1 860,0","885,0","900,0","325,0","234,0","320,0","468,0","720,0","468,0","243,0","101,0","1 642,0","1 553,0","995,0","1 075,0"
"71,0","113,0","231,0","449,0","1 972,0","1 940,0","1 002,0","887,0","313,0","257,0","308,0","504,0","779,0","504,0","232,0","96,0","1 584,0","1 553,0","1 000,0","1 075,0"
"62,0","111,0","247,0","416,0","2 096,0","2 020,0","1 099,0","893,0","333,0","280,0","317,0","546,0","843,0","546,0","208,0","92,0","1 506,0","1 286,0","985,0","1 038,0"
"48,0","112,0","279,0","417,0","2 160,0","2 104,0","1 103,0","910,0","386,0","316,0","344,0","594,0","889,0","594,0","75,0","89,0","1 476,0","1 286,0","943,0","1 038,0"
"47,0","113,0","310,0","416,0","2 192,0","2 192,0","1 124,0","928,0","426,0","350,0","365,0","643,0","975,0","643,0","59,0","86,0","1 461,0","1 286,0","940,0","1 038,0"
"54,0","112,0","340,0","421,0","1 900,0","2 272,0","1 166,0","947,0","462,0","379,0","375,0","690,0","1 115,0","690,0","53,0","100,0","1 412,0","1 286,0","947,0","1 038,0"
"65,0","120,0","369,0","425,0","2 384,0","2 352,0","1 167,0","962,0","488,0","409,0","388,0","734,0","1 230,0","734,0","171,0","96,0","1 369,0","1 370,0","932,0","1 009,0"
"79,0","132,0","403,0","433,0","2 504,0","2 432,0","1 156,0","981,0","575,0","436,0","429,0","779,0","1 278,0","779,0","172,0","93,0","1 384,0","1 370,0","926,0","1 009,0"
"90,0","146,0","469,0","447,0","2 628,0","2 512,0","1 245,0","1 000,0","657,0","462,0","477,0","821,0","1 249,0","821,0","199,0","91,0","1 405,0","1 370,0","907,0","1 009,0"
"103,0","160,0","520,0","467,0","2 700,0","2 592,0","1 180,0","1 020,0","692,0","484,0","504,0","865,0","1 265,0","865,0","187,0","88,0","1 362,0","1 370,0","952,0","1 009,0"
"128,0","177,0","591,0","493,0","2 696,0","2 664,0","1 287,0","1 034,0","706,0","508,0","534,0","895,0","1 350,0","895,0","163,0","86,0","1 374,0","1 400,0","957,0","991,0"
"162,0","198,0","697,0","525,0","2 692,0","2 720,0","1 286,0","1 042,0","751,0","531,0","604,0","885,0","1 297,0","885,0","50,0","87,0","1 363,0","1 400,0","931,0","991,0"
"211,0","220,0","802,0","564,0","2 776,0","2 772,0","1 256,0","1 051,0","750,0","551,0","709,0","875,0","1 224,0","875,0","143,0","87,0","1 381,0","1 400,0","927,0","991,0"
"256,0","243,0","942,0","610,0","2 712,0","2 824,0","1 205,0","1 059,0","766,0","568,0","831,0","864,0","1 112,0","864,0","132,0","88,0","1 369,0","1 400,0","961,0","991,0"
"298,0","268,0","1 036,0","661,0","2 752,0","2 868,0","1 223,0","1 063,0","753,0","583,0","983,0","1 028,0","1 011,0","1 028,0","122,0","89,0","1 360,0","1 302,0","971,0","963,0"
"340,0","293,0","1 096,0","717,0","2 872,0","2 904,0","1 248,0","1 059,0","757,0","597,0","1 116,0","996,0","858,0","996,0","109,0","91,0","1 317,0","1 302,0","995,0","963,0"
"375,0","318,0","1 212,0","776,0","2 952,0","2 936,0","1 271,0","1 056,0","715,0","611,0","1 236,0","959,0","746,0","959,0","128,0","93,0","1 304,0","1 302,0","1 041,0","963,0"
