50Hz-Actual,50Hz-Forecast,AMP-Actual,AMP-Forecast,AT-Actual,AT-Forecast,PL-Actual,PL-Forecast,TBW-Actual,TBW-Forecast,TTG-Actual,TTG-Forecast,TTGf-Actual,TTGf-Forecast,50Hzf-Actual,50Hzf-Forecast,FR-Actual,FR-Forecast,FRf-Actual,FRf-Forecast
"3 034,0","3 119,0","180,0","319,0","12,0","20,0","5 960,0","5 820,0","77,0","112,0","3 969,0","3 438,0","3 129,0","2 601,0","1 606,0","1 606,0","1 778,0","1 976,0","259,0","253,0"
"3 019,0","3 180,0","208,0","366,0","12,0","20,0","6 014,0","5 841,0","100,0","127,0","3 950,0","3 446,0","3 061,0","2 557,0","1 602,0","1 606,0","1 943,0","1 976,0","266,0","253,0"
"3 037,0","3 242,0","241,0","407,0","12,0","20,0","6 037,0","5 863,0","125,0","142,0","3 901,0","3 454,0","2 990,0","2 512,0","1 605,0","1 607,0","2 072,0","1 976,0","269,0","253,0"
"3 139,0","3 304,0","273,0","433,0","8,0","20,0","6 053,0","5 884,0","146,0","155,0","3 864,0","3 456,0","2 937,0","2 469,0","1 605,0","1 608,0","2 254,0","1 976,0","273,0","253,0"
"3 275,0","3 361,0","294,0","454,0","8,0","20,0","5 958,0","5 867,0","161,0","168,0","3 801,0","3 456,0","2 883,0","2 433,0","1 605,0","1 609,0","2 397,0","2 714,0","273,0","325,0"
"3 394,0","3 414,0","309,0","471,0","8,0","20,0","5 942,0","5 837,0","172,0","181,0","3 724,0","3 453,0","2 908,0","2 417,0","1 614,0","1 612,0","2 550,0","2 714,0","278,0","325,0"
"3 552,0","3 467,0","311,0","478,0","8,0","20,0","5 848,0","5 808,0","186,0","194,0","3 633,0","3 450,0","2 975,0","2 397,0","1 613,0","1 615,0","2 745,0","2 714,0","255,0","325,0"
"3 723,0","3 523,0","314,0","479,0","8,0","20,0","5 856,0","5 778,0","220,0","207,0","3 610,0","3 445,0","3 011,0","2 383,0","1 607,0","1 618,0","2 936,0","2 714,0","232,0","325,0"
"3 900,0","3 589,0","331,0","476,0","12,0","20,0","5 837,0","6 380,0","235,0","222,0","3 687,0","3 436,0","2 988,0","2 379,0","1 610,0","1 620,0","3 119,0","3 283,0","215,0","326,0"
"4 088,0","3 659,0","347,0","469,0","12,0","20,0","5 784,0","6 337,0","252,0","235,0","3 708,0","3 418,0","3 011,0","2 377,0","1 589,0","1 622,0","3 307,0","3 283,0","215,0","326,0"
"4 269,0","3 740,0","375,0","463,0","12,0","24,0","5 694,0","6 293,0","259,0","244,0","3 757,0","3 402,0","3 042,0","2 375,0","1 569,0","1 625,0","3 486,0","3 283,0","218,0","326,0"
"4 335,0","3 810,0","400,0","456,0","12,0","24,0","5 581,0","6 250,0","260,0","250,0","3 706,0","3 381,0","3 061,0","2 372,0","1 537,0","1 626,0","3 587,0","3 283,0","222,0","326,0"
"4 420,0","3 845,0","417,0","451,0","8,0","24,0","5 499,0","6 210,0","267,0","253,0","3 682,0","3 359,0","2 993,0","2 364,0","1 520,0","1 628,0","3 681,0","3 595,0","237,0","305,0"
"4 443,0","3 847,0","444,0","446,0","12,0","28,0","5 489,0","6 164,0","260,0","255,0","3 652,0","3 335,0","2 874,0","2 350,0","1 488,0","1 625,0","3 792,0","3 595,0","249,0","305,0"
"4 436,0","3 845,0","486,0","442,0","20,0","28,0","5 503,0","6 119,0","255,0","257,0","3 594,0","3 309,0","2 830,0","2 341,0","1 447,0","1 623,0","3 872,0","3 595,0","265,0","305,0"
"4 413,0","3 831,0","532,0","439,0","44,0","28,0","5 388,0","6 073,0","275,0","257,0","3 629,0","3 275,0","2 747,0","2 331,0","1 466,0","1 620,0","3 850,0","3 595,0","286,0","305,0"
"4 330,0","3 796,0","560,0","439,0","52,0","32,0","5 335,0","6 040,0","288,0","256,0","3 525,0","3 204,0","2 689,0","2 333,0","1 501,0","1 616,0","3 734,0","3 762,0","288,0","251,0"
"4 274,0","3 790,0","586,0","433,0","64,0","32,0","5 353,0","6 020,0","304,0","256,0","3 522,0","3 211,0","2 684,0","2 342,0","1 515,0","1 611,0","3 736,0","3 762,0","285,0","251,0"
"4 198,0","3 785,0","601,0","427,0","76,0","36,0","5 402,0","5 999,0","292,0","255,0","3 505,0","3 218,0","2 693,0","2 353,0","1 531,0","1 606,0","3 711,0","3 762,0","273,0","251,0"
"4 127,0","3 780,0","631,0","420,0","84,0","36,0","5 434,0","5 978,0","281,0","254,0","3 472,0","3 226,0","2 749,0","2 361,0","1 519,0","1 601,0","3 691,0","3 762,0","250,0","251,0"
"4 033,0","3 759,0","682,0","415,0","88,0","36,0","5 518,0","5 975,0","286,0","253,0","3 457,0","3 238,0","2 810,0","2 381,0","1 533,0","1 595,0","3 644,0","3 536,0","223,0","248,0"
"3 977,0","3 714,0","712,0","405,0","84,0","36,0","5 490,0","5 975,0","291,0","250,0","3 484,0","3 280,0","2 737,0","2 419,0","1 548,0","1 588,0","3 548,0","3 536,0","191,0","248,0"
"3 900,0","3 669,0","727,0","395,0","68,0","36,0","5 436,0","5 974,0","284,0","246,0","3 533,0","3 323,0","2 708,0","2 460,0","1 549,0","1 582,0","3 458,0","3 536,0","154,0","248,0"
"3 805,0","3 620,0","719,0","386,0","48,0","36,0","5 321,0","5 974,0","282,0","245,0","3 601,0","3 365,0","2 763,0","2 497,0","1 549,0","1 575,0","3 379,0","3 536,0","144,0","248,0"
"3 755,0","3 794,0","689,0","646,0","40,0","52,0","5 381,0","5 372,0","304,0","281,0","3 566,0","3 704,0","2 815,0","2 857,0","1 551,0","1 547,0","3 298,0","2 918,0","150,0","246,0"
"3 711,0","3 763,0","652,0","631,0","36,0","52,0","5 418,0","5 322,0","310,0","278,0","3 586,0","3 752,0","2 832,0","2 812,0","1 521,0","1 531,0","3 180,0","2 918,0","153,0","246,0"
"3 663,0","3 722,0","631,0","616,0","36,0","48,0","5 444,0","5 370,0","317,0","298,0","3 603,0","3 803,0","2 859,0","2 825,0","1 525,0","1 520,0","3 055,0","2 918,0","176,0","246,0"
"3 609,0","3 674,0","595,0","604,0","48,0","48,0","5 573,0","5 388,0","320,0","305,0","3 630,0","3 822,0","2 807,0","2 860,0","1 542,0","1 526,0","2 972,0","2 918,0","176,0","246,0"
"3 587,0","3 629,0","560,0","601,0","52,0","48,0","5 579,0","5 478,0","322,0","313,0","3 655,0","3 799,0","2 711,0","2 913,0","1 556,0","1 536,0","2 864,0","2 684,0","177,0","263,0"
"3 572,0","3 600,0","507,0","578,0","52,0","48,0","5 639,0","5 555,0","331,0","317,0","3 678,0","3 802,0","2 644,0","2 913,0","1 594,0","1 552,0","2 816,0","2 684,0","200,0","263,0"
"3 591,0","3 576,0","441,0","545,0","64,0","52,0","5 658,0","5 519,0","336,0","319,0","3 708,0","3 839,0","2 640,0","2 923,0","1 592,0","1 565,0","2 805,0","2 684,0","207,0","263,0"
"3 584,0","3 563,0","393,0","504,0","60,0","56,0","5 615,0","5 499,0","351,0","324,0","3 795,0","3 863,0","2 660,0","2 927,0","1 597,0","1 569,0","2 787,0","2 684,0","199,0","263,0"
"3 561,0","3 541,0","339,0","461,0","68,0","60,0","5 643,0","5 530,0","367,0","323,0","3 843,0","3 870,0","2 601,0","2 930,0","1 591,0","1 569,0","2 815,0","2 504,0","200,0","282,0"
"3 542,0","3 522,0","302,0","418,0","92,0","68,0","5 576,0","5 491,0","361,0","335,0","3 677,0","3 864,0","2 456,0","2 940,0","1 523,0","1 550,0","2 807,0","2 504,0","203,0","282,0"
"3 568,0","3 509,0","266,0","374,0","104,0","72,0","5 660,0","5 446,0","333,0","347,0","3 472,0","3 858,0","2 423,0","2 947,0","1 445,0","1 519,0","2 749,0","2 504,0","213,0","282,0"
"3 598,0","3 500,0","231,0","334,0","104,0","76,0","5 660,0","5 428,0","315,0","338,0","3 415,0","3 695,0","2 490,0","2 832,0","1 376,0","1 500,0","2 765,0","2 504,0","197,0","282,0"
"3 574,0","3 501,0","193,0","209,0","112,0","80,0","5 602,0","5 488,0","295,0","313,0","3 435,0","3 683,0","2 614,0","2 839,0","1 313,0","1 475,0","2 736,0","2 337,0","205,0","267,0"
"3 516,0","3 480,0","159,0","190,0","108,0","80,0","5 647,0","5 515,0","274,0","291,0","3 423,0","3 604,0","2 679,0","2 789,0","1 340,0","1 498,0","2 717,0","2 337,0","205,0","267,0"
"3 445,0","3 479,0","140,0","173,0","96,0","84,0","5 636,0","5 476,0","255,0","267,0","3 427,0","3 603,0","2 670,0","2 705,0","1 294,0","1 484,0","2 699,0","2 337,0","210,0","267,0"
"3 361,0","3 462,0","121,0","161,0","92,0","84,0","5 595,0","5 494,0","232,0","248,0","3 435,0","3 441,0","2 562,0","2 598,0","1 255,0","1 481,0","2 699,0","2 337,0","219,0","267,0"
"3 323,0","3 458,0","117,0","151,0","84,0","84,0","5 589,0","5 504,0","219,0","229,0","3 443,0","3 478,0","2 471,0","2 648,0","1 277,0","1 467,0","2 708,0","2 211,0","221,0","258,0"
"3 295,0","3 450,0","117,0","158,0","92,0","84,0","5 671,0","5 631,0","219,0","211,0","3 471,0","3 522,0","2 408,0","2 650,0","1 316,0","1 477,0","2 713,0","2 211,0","208,0","258,0"
"3 257,0","3 437,0","121,0","168,0","96,0","80,0","5 724,0","5 661,0","205,0","199,0","3 626,0","3 608,0","2 368,0","2 616,0","1 372,0","1 501,0","2 712,0","2 211,0","184,0","258,0"
"3 241,0","3 434,0","122,0","180,0","100,0","72,0","5 779,0","5 725,0","173,0","195,0","3 951,0","3 651,0","2 389,0","2 549,0","1 444,0","1 508,0","2 712,0","2 211,0","173,0","258,0"
"3 250,0","3 445,0","108,0","193,0","96,0","68,0","5 765,0","5 785,0","154,0","181,0","4 256,0","3 711,0","2 506,0","2 506,0","1 505,0","1 540,0","2 747,0","2 290,0","187,0","260,0"
"3 253,0","3 491,0","102,0","216,0","88,0","64,0","5 652,0","5 892,0","129,0","151,0","4 225,0","3 995,0","2 653,0","2 500,0","1 472,0","1 529,0","2 781,0","2 290,0","174,0","260,0"
"3 229,0","3 533,0","113,0","239,0","80,0","60,0","5 581,0","5 935,0","115,0","128,0","4 418,0","4 268,0","2 388,0","2 477,0","1 460,0","1 516,0","2 824,0","2 290,0","161,0","260,0"
"3 251,0","3 553,0","144,0","265,0","60,0","56,0","5 633,0","5 654,0","98,0","105,0","4 440,0","4 550,0","2 478,0","2 529,0","1 448,0","1 524,0","2 846,0","2 290,0","169,0","260,0"
"3 456,0","3 613,0","181,0","213,0","44,0","52,0","5 728,0","5 475,0","79,0","87,0","4 649,0","4 770,0","2 768,0","2 566,0","1 474,0","1 519,0","2 855,0","2 285,0","169,0","261,0"
"3 369,0","3 613,0","221,0","240,0","32,0","48,0","5 759,0","5 545,0","66,0","73,0","5 016,0","4 740,0","2 890,0","2 577,0","1 463,0","1 528,0","2 790,0","2 285,0","177,0","261,0"
"3 393,0","3 599,0","293,0","267,0","12,0","44,0","5 825,0","5 745,0","56,0","67,0","5 113,0","4 839,0","2 860,0","2 520,0","1 480,0","1 524,0","2 726,0","2 285,0","208,0","261,0"
"3 463,0","3 605,0","369,0","292,0","12,0","44,0","5 871,0","5 777,0","45,0","55,0","5 095,0","5 086,0","2 808,0","2 592,0","1 506,0","1 540,0","2 680,0","2 285,0","200,0","261,0"
"3 512,0","3 595,0","445,0","310,0","28,0","40,0","5 929,0","5 825,0","37,0","44,0","5 240,0","5 261,0","2 261,0","2 748,0","1 376,0","1 518,0","2 640,0","2 402,0","186,0","271,0"
"3 664,0","3 594,0","520,0","324,0","48,0","40,0","5 870,0","5 855,0","28,0","39,0","5 324,0","5 280,0","2 288,0","2 780,0","1 364,0","1 505,0","2 600,0","2 402,0","205,0","271,0"
"3 736,0","3 622,0","555,0","340,0","60,0","40,0","5 977,0","5 930,0","15,0","36,0","5 067,0","5 216,0","2 245,0","2 701,0","1 367,0","1 514,0","2 615,0","2 402,0","192,0","271,0"
"3 821,0","3 614,0","556,0","357,0","80,0","36,0","5 960,0","6 004,0","11,0","35,0","4 879,0","5 207,0","2 173,0","2 689,0","1 348,0","1 509,0","2 636,0","2 402,0","181,0","271,0"
"3 732,0","3 573,0","557,0","373,0","100,0","36,0","5 931,0","5 997,0","13,0","36,0","4 838,0","5 180,0","1 909,0","2 680,0","1 371,0","1 508,0","2 644,0","2 433,0","197,0","261,0"
"3 646,0","3 468,0","583,0","387,0","120,0","36,0","5 912,0","5 958,0","15,0","37,0","4 871,0","5 137,0","1 895,0","2 701,0","1 380,0","1 520,0","2 643,0","2 433,0","197,0","261,0"
"3 482,0","3 380,0","602,0","399,0","136,0","36,0","5 907,0","5 982,0","14,0","38,0","4 783,0","5 094,0","1 832,0","2 714,0","1 404,0","1 529,0","2 602,0","2 433,0","194,0","261,0"
"3 217,0","3 259,0","634,0","407,0","144,0","36,0","5 882,0","6 005,0","14,0","41,0","4 528,0","5 024,0","1 566,0","2 732,0","1 427,0","1 540,0","2 532,0","2 433,0","199,0","261,0"
"2 865,0","3 244,0","672,0","415,0","132,0","36,0","5 831,0","6 050,0","13,0","40,0","4 515,0","4 906,0","1 815,0","2 763,0","1 219,0","1 438,0","2 456,0","2 453,0","182,0","230,0"
"2 554,0","3 010,0","638,0","413,0","132,0","32,0","5 789,0","6 093,0","15,0","39,0","4 421,0","4 653,0","1 922,0","2 821,0","1 226,0","1 447,0","2 318,0","2 453,0","164,0","230,0"
"2 252,0","2 776,0","578,0","411,0","136,0","28,0","5 755,0","6 133,0","13,0","37,0","4 090,0","4 397,0","2 136,0","2 884,0","1 238,0","1 456,0","2 149,0","2 453,0","169,0","230,0"
"2 018,0","2 565,0","503,0","407,0","164,0","24,0","5 676,0","6 105,0","12,0","35,0","3 745,0","4 153,0","2 255,0","2 946,0","1 250,0","1 465,0","1 973,0","2 453,0","159,0","230,0"
"1 875,0","2 401,0","435,0","402,0","176,0","24,0","5 711,0","6 147,0","12,0","32,0","3 558,0","3 935,0","2 584,0","3 000,0","1 410,0","1 472,0","1 811,0","2 203,0","133,0","188,0"
"1 801,0","2 288,0","349,0","362,0","192,0","24,0","5 811,0","6 200,0","12,0","28,0","3 595,0","3 827,0","2 892,0","3 060,0","1 415,0","1 478,0","1 630,0","2 203,0","116,0","188,0"
"1 759,0","2 183,0","279,0","318,0","200,0","20,0","5 436,0","6 247,0","12,0","25,0","3 618,0","3 719,0","3 130,0","3 116,0","1 410,0","1 484,0","1 485,0","2 203,0","105,0","188,0"
"1 811,0","2 078,0","240,0","268,0","204,0","20,0","5 364,0","6 290,0","11,0","22,0","3 743,0","3 613,0","3 790,0","3 175,0","1 409,0","1 489,0","1 347,0","2 203,0","91,0","188,0"
"1 878,0","2 051,0","196,0","216,0","216,0","20,0","4 901,0","6 309,0","8,0","19,0","3 840,0","3 546,0","3 438,0","3 047,0","1 389,0","1 495,0","1 233,0","1 292,0","89,0","147,0"
"1 916,0","2 096,0","166,0","195,0","220,0","24,0","4 937,0","6 335,0","7,0","18,0","3 829,0","3 597,0","3 669,0","3 043,0","1 393,0","1 500,0","1 178,0","1 292,0","83,0","147,0"
"1 912,0","2 142,0","148,0","175,0","228,0","24,0","4 987,0","6 366,0","6,0","17,0","3 758,0","3 648,0","3 716,0","3 036,0","1 589,0","1 506,0","1 161,0","1 292,0","76,0","147,0"
"1 896,0","2 201,0","124,0","157,0","224,0","24,0","5 041,0","6 405,0","7,0","17,0","3 442,0","3 704,0","3 417,0","3 028,0","1 589,0","1 552,0","1 122,0","1 292,0","58,0","147,0"
"1 883,0","2 260,0","129,0","137,0","228,0","24,0","4 753,0","6 406,0","8,0","16,0","4 021,0","3 758,0","3 656,0","3 026,0","1 405,0","1 557,0","1 055,0","1 147,0","0,0","142,0"
"2 104,0","2 329,0","131,0","117,0","228,0","24,0","4 771,0","6 426,0","9,0","15,0","4 115,0","3 810,0","3 819,0","3 029,0","1 598,0","1 561,0","1 066,0","1 147,0","6,0","142,0"
"2 145,0","2 401,0","125,0","103,0","220,0","24,0","4 728,0","6 448,0","11,0","15,0","3 978,0","3 866,0","3 819,0","3 038,0","1 585,0","1 565,0","1 092,0","1 147,0","75,0","142,0"
"2 094,0","2 478,0","125,0","96,0","212,0","28,0","4 782,0","6 473,0","11,0","14,0","3 880,0","3 924,0","3 464,0","3 042,0","1 543,0","1 569,0","1 147,0","1 147,0","121,0","142,0"
"2 112,0","2 546,0","133,0","91,0","224,0","28,0","4 786,0","6 504,0","12,0","13,0","4 117,0","3 976,0","3 417,0","3 064,0","1 551,0","1 573,0","1 162,0","1 196,0","133,0","107,0"
"2 253,0","2 602,0","128,0","87,0","216,0","28,0","4 877,0","6 532,0","14,0","12,0","4 301,0","4 018,0","3 399,0","3 129,0","1 549,0","1 576,0","1 137,0","1 196,0","133,0","107,0"
"2 304,0","2 655,0","127,0","84,0","192,0","28,0","4 809,0","6 559,0","13,0","12,0","4 321,0","4 057,0","3 446,0","3 198,0","1 546,0","1 578,0","1 143,0","1 196,0","127,0","107,0"
"2 301,0","2 702,0","114,0","81,0","192,0","28,0","4 814,0","6 586,0","12,0","12,0","4 385,0","4 090,0","3 431,0","3 266,0","1 549,0","1 582,0","1 142,0","1 196,0","131,0","107,0"
"2 310,0","2 737,0","103,0","77,0","184,0","28,0","4 965,0","6 631,0","13,0","12,0","4 294,0","4 014,0","3 252,0","3 339,0","1 602,0","1 584,0","1 145,0","1 239,0","142,0","119,0"
"2 312,0","2 766,0","107,0","74,0","184,0","28,0","5 008,0","6 655,0","14,0","12,0","4 611,0","4 050,0","3 608,0","3 376,0","1 598,0","1 586,0","1 120,0","1 239,0","151,0","119,0"
"2 471,0","2 795,0","114,0","71,0","12,0","28,0","5 055,0","6 678,0","18,0","12,0","4 777,0","4 088,0","3 914,0","3 403,0","1 595,0","1 587,0","1 138,0","1 239,0","176,0","119,0"
"2 523,0","2 816,0","119,0","68,0","172,0","32,0","5 031,0","6 702,0","21,0","12,0","4 657,0","4 115,0","3 780,0","3 437,0","1 597,0","1 588,0","1 154,0","1 239,0","175,0","119,0"
"2 476,0","2 823,0","111,0","65,0","164,0","32,0","5 196,0","6 675,0","18,0","12,0","4 601,0","4 134,0","3 983,0","3 454,0","1 605,0","1 591,0","1 165,0","1 278,0","178,0","139,0"
"2 399,0","2 795,0","94,0","62,0","152,0","32,0","5 123,0","6 704,0","18,0","12,0","4 628,0","4 121,0","4 070,0","3 584,0","1 608,0","1 596,0","1 157,0","1 278,0","187,0","139,0"
"2 355,0","2 767,0","83,0","58,0","120,0","32,0","5 075,0","6 731,0","15,0","11,0","4 706,0","4 107,0","4 054,0","3 585,0","1 613,0","1 600,0","1 153,0","1 278,0","192,0","139,0"
"2 307,0","2 738,0","75,0","55,0","96,0","32,0","5 059,0","6 691,0","11,0","11,0","4 785,0","4 090,0","4 029,0","3 672,0","1 614,0","1 605,0","1 211,0","1 278,0","184,0","139,0"
"2 249,0","2 727,0","65,0","52,0","76,0","32,0","6 049,0","6 708,0","9,0","10,0","4 664,0","4 059,0","4 216,0","3 676,0","1 610,0","1 610,0","1 214,0","1 422,0","185,0","155,0"
"2 192,0","2 743,0","59,0","61,0","72,0","36,0","6 009,0","6 734,0","9,0","11,0","4 524,0","3 987,0","4 234,0","3 703,0","1 604,0","1 614,0","1 238,0","1 422,0","197,0","155,0"
"2 188,0","2 760,0","53,0","71,0","60,0","36,0","5 851,0","6 760,0","9,0","11,0","4 370,0","3 913,0","4 406,0","3 720,0","1 617,0","1 617,0","1 250,0","1 422,0","198,0","155,0"
"2 180,0","2 782,0","58,0","85,0","40,0","36,0","5 780,0","6 786,0","11,0","12,0","4 124,0","3 844,0","4 463,0","3 744,0","1 618,0","1 621,0","1 246,0","1 422,0","180,0","155,0"
"2 266,0","2 834,0","61,0","99,0","28,0","40,0","5 834,0","6 866,0","10,0","13,0","3 884,0","3 784,0","3 790,0","3 767,0","1 615,0","1 623,0","1 261,0","1 558,0","167,0","144,0"
"2 440,0","2 955,0","62,0","133,0","24,0","40,0","5 910,0","6 970,0","12,0","19,0","3 651,0","3 853,0","3 803,0","3 795,0","1 617,0","1 626,0","1 275,0","1 558,0","157,0","144,0"
"2 650,0","3 076,0","65,0","172,0","20,0","44,0","5 891,0","7 074,0","18,0","24,0","3 763,0","3 932,0","3 804,0","3 831,0","1 617,0","1 629,0","1 311,0","1 558,0","135,0","144,0"
"2 854,0","3 198,0","90,0","214,0","20,0","44,0","5 906,0","7 178,0","20,0","29,0","4 268,0","4 010,0","3 796,0","3 859,0","1 618,0","1 632,0","1 337,0","1 558,0","135,0","144,0"
"3 073,0","3 359,0","126,0","256,0","24,0","48,0","5 968,0","7 234,0","21,0","34,0","4 535,0","4 089,0","3 861,0","3 897,0","1 616,0","1 634,0","1 409,0","1 895,0","146,0","135,0"
"3 345,0","3 564,0","168,0","305,0","24,0","52,0","6 077,0","7 279,0","24,0","41,0","4 880,0","4 205,0","3 797,0","3 933,0","1 618,0","1 637,0","1 487,0","1 895,0","147,0","135,0"
"3 485,0","3 770,0","216,0","352,0","24,0","52,0","6 229,0","7 325,0","32,0","47,0","5 095,0","4 320,0","3 666,0","3 966,0","1 618,0","1 640,0","1 585,0","1 895,0","162,0","135,0"
"3 726,0","3 974,0","277,0","401,0","24,0","56,0","6 364,0","7 371,0","33,0","54,0","5 292,0","4 445,0","3 559,0","3 996,0","1 619,0","1 643,0","1 698,0","1 895,0","175,0","135,0"
"3 996,0","4 145,0","384,0","449,0","28,0","60,0","6 415,0","7 375,0","32,0","60,0","5 618,0","4 580,0","3 811,0","4 023,0","1 611,0","1 646,0","1 820,0","2 444,0","171,0","166,0"
"4 219,0","4 281,0","500,0","497,0","32,0","68,0","6 386,0","7 361,0","35,0","67,0","5 827,0","4 728,0","3 961,0","4 068,0","1 617,0","1 646,0","1 930,0","2 444,0","165,0","166,0"
"4 346,0","4 415,0","626,0","552,0","36,0","76,0","6 434,0","7 346,0","34,0","75,0","5 881,0","4 886,0","3 813,0","4 163,0","1 618,0","1 647,0","2 031,0","2 444,0","145,0","166,0"
"4 469,0","4 545,0","782,0","612,0","44,0","84,0","6 464,0","7 332,0","38,0","83,0","5 976,0","5 065,0","3 987,0","4 209,0","1 618,0","1 647,0","2 159,0","2 444,0","131,0","166,0"
"4 616,0","4 639,0","875,0","677,0","40,0","92,0","6 451,0","7 298,0","43,0","93,0","6 009,0","5 271,0","4 439,0","4 257,0","1 617,0","1 648,0","2 291,0","2 749,0","152,0","194,0"
"4 653,0","4 690,0","972,0","740,0","40,0","92,0","6 509,0","7 259,0","53,0","102,0","6 020,0","5 472,0","4 650,0","4 329,0","1 611,0","1 647,0","2 412,0","2 749,0","153,0","194,0"
"4 744,0","4 736,0","1 088,0","801,0","44,0","96,0","6 506,0","7 221,0","60,0","109,0","6 092,0","5 645,0","4 704,0","4 392,0","1 616,0","1 647,0","2 512,0","2 749,0","153,0","194,0"
"4 809,0","4 779,0","1 205,0","856,0","44,0","96,0","6 444,0","7 182,0","66,0","115,0","6 065,0","5 795,0","4 839,0","4 454,0","1 617,0","1 647,0","2 580,0","2 749,0","159,0","194,0"
"4 827,0","4 815,0","1 271,0","906,0","48,0","100,0","6 329,0","7 123,0","73,0","121,0","6 008,0","5 943,0","4 841,0","4 506,0","1 616,0","1 647,0","2 683,0","2 966,0","172,0","177,0"
"4 887,0","4 845,0","1 315,0","949,0","56,0","112,0","6 299,0","7 048,0","79,0","127,0","5 931,0","6 089,0","5 152,0","4 561,0","1 617,0","1 647,0","2 765,0","2 966,0","194,0","177,0"
"4 975,0","4 875,0","1 323,0","991,0","60,0","120,0","6 314,0","6 973,0","87,0","133,0","5 935,0","6 233,0","5 338,0","4 629,0","1 617,0","1 647,0","2 818,0","2 966,0","203,0","177,0"
"5 037,0","4 903,0","1 283,0","1 023,0","64,0","128,0","6 235,0","6 898,0","85,0","138,0","6 147,0","6 376,0","5 304,0","4 674,0","1 617,0","1 648,0","2 853,0","2 966,0","200,0","177,0"
"5 105,0","4 903,0","1 242,0","1 052,0","68,0","140,0","6 193,0","6 844,0","92,0","143,0","6 214,0","6 342,0","5 406,0","4 696,0","1 618,0","1 647,0","2 804,0","3 023,0","181,0","163,0"
"5 264,0","4 938,0","1 249,0","1 062,0","72,0","140,0","6 235,0","6 792,0","98,0","147,0","6 493,0","6 511,0","5 494,0","4 709,0","1 616,0","1 646,0","2 756,0","3 023,0","152,0","163,0"
"5 415,0","4 973,0","1 252,0","1 071,0","76,0","140,0","6 286,0","6 741,0","98,0","152,0","6 791,0","6 677,0","5 534,0","4 720,0","1 617,0","1 645,0","2 730,0","3 023,0","137,0","163,0"
"5 548,0","5 007,0","1 215,0","1 078,0","84,0","140,0","6 281,0","6 689,0","99,0","156,0","7 062,0","6 839,0","5 551,0","4 727,0","1 616,0","1 644,0","2 748,0","3 023,0","117,0","163,0"
"5 698,0","5 026,0","1 173,0","1 085,0","92,0","140,0","6 403,0","6 676,0","107,0","161,0","7 178,0","7 000,0","5 158,0","4 728,0","1 614,0","1 644,0","2 704,0","2 874,0","105,0","138,0"
"5 878,0","5 020,0","1 133,0","1 075,0","88,0","156,0","6 355,0","6 685,0","110,0","160,0","7 353,0","7 157,0","4 889,0","4 720,0","1 616,0","1 644,0","2 636,0","2 874,0","108,0","138,0"
"5 937,0","5 013,0","1 114,0","1 066,0","80,0","172,0","6 338,0","6 695,0","114,0","160,0","7 436,0","7 310,0","4 793,0","4 708,0","1 616,0","1 644,0","2 600,0","2 874,0","92,0","138,0"
"5 972,0","5 005,0","1 116,0","1 054,0","80,0","188,0","6 297,0","6 704,0","122,0","158,0","7 657,0","7 453,0","4 906,0","4 519,0","1 617,0","1 644,0","2 516,0","2 874,0","92,0","138,0"
"5 933,0","5 947,0","1 079,0","1 018,0","84,0","84,0","6 336,0","6 371,0","123,0","133,0","7 814,0","7 898,0","5 621,0","4 982,0","1 616,0","1 619,0","2 477,0","2 502,0","107,0","126,0"
"5 920,0","5 926,0","1 047,0","976,0","80,0","88,0","6 406,0","6 367,0","124,0","135,0","7 994,0","8 045,0","5 649,0","4 835,0","1 617,0","1 619,0","2 458,0","2 502,0","118,0","126,0"
"5 988,0","5 917,0","1 024,0","939,0","76,0","88,0","6 446,0","6 406,0","119,0","136,0","8 286,0","8 085,0","5 624,0","4 876,0","1 616,0","1 618,0","2 469,0","2 502,0","120,0","126,0"
"5 999,0","5 935,0","983,0","909,0","76,0","92,0","6 429,0","6 439,0","115,0","134,0","8 522,0","8 300,0","5 409,0","5 059,0","1 616,0","1 617,0","2 478,0","2 502,0","105,0","126,0"
"5 963,0","5 902,0","924,0","879,0","64,0","88,0","6 520,0","6 382,0","108,0","129,0","8 817,0","8 512,0","5 275,0","5 303,0","1 614,0","1 617,0","2 481,0","2 383,0","102,0","103,0"
"5 928,0","5 860,0","873,0","871,0","64,0","88,0","6 546,0","6 421,0","107,0","120,0","8 611,0","8 789,0","4 924,0","5 335,0","1 615,0","1 617,0","2 481,0","2 383,0","99,0","103,0"
"5 988,0","5 823,0","832,0","864,0","56,0","88,0","6 483,0","6 463,0","102,0","107,0","8 571,0","8 973,0","4 913,0","5 283,0","1 614,0","1 618,0","2 467,0","2 383,0","101,0","103,0"
"5 986,0","5 810,0","854,0","868,0","64,0","88,0","6 510,0","6 427,0","91,0","100,0","8 558,0","9 119,0","4 907,0","5 109,0","1 605,0","1 616,0","2 423,0","2 383,0","98,0","103,0"
"6 037,0","5 784,0","876,0","883,0","88,0","88,0","6 547,0","6 448,0","80,0","91,0","8 806,0","9 050,0","4 882,0","4 970,0","1 604,0","1 616,0","2 383,0","2 251,0","89,0","94,0"
